"cYr","pptAvg","tminAvg","tmaxAvg","tmeanAvg","tAvg"
1923,1724.30697906281,4.6362855876814,17.7539049518112,11.1950952697463,11.1950952697463
1924,1603.36349617813,3.55577655921125,16.7676293342196,10.1617029467154,10.1617029467154
1925,1082.79159189099,5.25579871496622,18.6342120859643,11.9450054004653,11.9450054004653
1926,1597.63120305749,4.51479561316051,17.2891589121524,10.9019772626565,10.9019772626565
1927,1556.68822200066,5.63511548687272,18.2312113659023,11.9331634263875,11.9331634263875
1928,1662.5065370555,4.19286833942616,17.0673125069237,10.6300904231749,10.6300904231749
1929,1956.87590893985,5.05987897418854,17.2003877257118,11.1301333499502,11.1301333499501
1930,1211.27749086075,4.53239808352719,17.4806275617592,11.0065128226432,11.0065128226432
1931,1457.99264539714,5.08173313393154,18.2927888556552,11.6872609947934,11.6872609947934
1932,1896.90037886341,5.35390910601529,18.2707114766811,11.8123102913482,11.8123102913482
1933,1369.26976404121,5.12339730807577,18.6421272294229,11.8827622687493,11.8827622687493
1934,1674.4154968428,4.78526725379417,17.9280259222333,11.3566465880137,11.3566465880137
1935,1382.07568295115,5.1593932092611,18.0925326797386,11.6259629444998,11.6259629444998
1936,1833.88205383849,4.99113437465382,18.2907768361582,11.640955605406,11.640955605406
1937,1593.31853107345,5.04295142350725,17.3521158745984,11.1975336490528,11.1975336490528
1938,1650.34044533067,5.3401401351501,18.2781630109671,11.8091515730586,11.8091515730586
1939,1413.81739448322,4.86493824083305,18.4346917580591,11.6498149994461,11.6498149994461
1940,1360.37047856431,3.09040738894427,16.7803888334995,9.93539811122189,9.93539811122189
1941,1182.48564971751,4.47966461725934,18.273712750637,11.3766886839481,11.3766886839482
1942,1816.00140245929,4.2974512573391,17.2743333887227,10.7858923230309,10.7858923230309
1943,1435.4425224327,3.97471668328349,17.7425506812895,10.8586336822865,10.8586336822865
1944,1590.17630442007,4.6584200177246,17.7458795834718,11.2021498005982,11.2021498005982
1945,1631.61739448322,5.05952863631328,17.8219364129833,11.4407325246483,11.4407325246483
1946,1585.86941508807,5.24239254458846,18.3765869059488,11.8094897252686,11.8094897252686
1947,1515.5903888335,4.69630442007312,17.0176071784646,10.8569557992689,10.8569557992689
1948,1778.12468926554,5.22722305306304,17.7056926442893,11.4664578486762,11.4664578486762
1949,1842.33845463609,5.89053007643735,18.0577888556553,11.9741594660463,11.9741594660463
1950,1609.45277500831,4.95629306524869,17.1606751966323,11.0584841309405,11.0584841309405
1951,1658.98047524094,4.43988672870277,17.6687833721059,11.0543350504043,11.0543350504043
1952,1306.03507145231,4.55240140689043,18.2800606513792,11.4162310291348,11.4162310291348
1953,1422.27949152542,4.38983826298881,18.5117962778332,11.450817270411,11.450817270411
1954,1456.03060817547,4.15152293120638,18.2227102027252,11.1871165669658,11.1871165669658
1955,1496.00832834829,4.01686136036335,17.9084540821979,10.9626577212806,10.9626577212806
1956,1536.55221335992,4.3959214024593,18.0047488091282,11.2003351057937,11.2003351057937
1957,1967.65868727152,5.33971363686717,17.8916472803811,11.6156804586241,11.6156804586241
1958,1367.42117314723,3.5037736789631,16.5744746316606,10.0391241553118,10.0391241553118
1959,1720.84933532735,4.48841780214911,17.6787174587349,11.083567630442,11.083567630442
1960,1388.16113659023,3.35937714633876,16.4601066245707,9.90974188545473,9.90974188545475
1961,1716.9966633433,3.81054115431483,16.9253592001773,10.367950177246,10.367950177246
1962,1651.28036889332,3.95017059931318,17.1318660684613,10.5410183338872,10.5410183338872
1963,1444.94403123961,2.67953002104796,16.6446136590229,9.66207184003544,9.66207184003544
1964,1898.4993220339,3.55846045197741,17.1375708984159,10.3480156751966,10.3480156751966
1965,1379.59641409106,3.94497701340424,17.4979192976626,10.7214481555334,10.7214481555334
1966,1732.20902957793,3.62959205716184,16.2992242716296,9.9644081643957,9.9644081643957
1967,1793.71364240612,3.64135094715853,16.8462025036003,10.2437767253794,10.2437767253794
1968,1368.74655699568,3.07382491414645,16.4106228536612,9.74222388390383,9.74222388390385
1969,1581.77133266866,3.18718151102249,16.1786734241719,9.68292746759721,9.68292746759722
1970,1384.62868727152,3.73838013736567,17.3371751412429,10.5377776393043,10.5377776393043
1971,1796.82614489864,4.23609781765814,17.2355123518334,10.7358050847458,10.7358050847458
1972,1938.35477234962,4.10614794505373,16.7731228536612,10.4396353993575,10.4396353993575
1973,1905.24524759056,4.48312673091836,17.2457267087626,10.8644267198405,10.8644267198405
